HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
